﻿objectid;insee;annee;sante_plaf;educ_plaf;revenu_plaf;idh2;nomcom;pop
3458;91215;1999;0.52979147;0.20913574;0.33919287;0.35937336;Épinay-sous-Sénart;12768
3541;91540;1999;0.54161296;0.27236117;0.53782489;0.45059968;Saint-Chéron;4445
3586;91687;1999;0.48030894;0.23869643;0.46410763;0.394371;Viry-Châtillon;30241
3714;95008;1999;;0.2720117;0.53350485;;Aincourt;658
3756;95150;1999;0.45668341;0.3312901;0.45433417;0.41410256;Chaussy;602
3759;95157;1999;;0.42885319;0.47762124;;Chérence;143
3783;95254;1999;;0.32991202;0.58840422;;Frémécourt;464
409;77404;2013;0.57084256;0.20392082;0.4577988;0.41085406;Sainte-Colombe;1814
480;77476;2013;0.58086928;0.44962903;0.57159961;0.53403264;Trocy-en-Multien;247
560;78073;2013;0.68880824;0.5891085;0.60644553;0.62812076;Bois-d'Arcy;14008
570;78104;2013;0.70786838;0.46469062;0.63196709;0.60150869;Breuil-Bois-Robert;721
607;78206;2013;0.61803827;0.54118182;0.57386774;0.57769594;Ecquevilly;4031
615;78231;2013;0.9863113;0.44894282;0.71198247;0.71574553;Favrieux;150
751;78559;2013;0.98802366;0.44178739;0.60501497;0.67827534;Saint-Illiers-le-Bois;454
836;91131;2013;0.62690658;0.56522581;0.55425878;0.58213039;Chalou-Moulineux;421
881;91292;2013;0.66651067;0.5590176;0.6487538;0.62476069;Guibeville;726
927;91477;2013;0.73570998;0.69445161;0.63188152;0.68734771;Palaiseau;31264
942;91538;2013;0.74583646;0.86343988;0.84030332;0.81652655;Saint-Aubin;698
1147;95110;2013;0.57645537;0.6419912;0.65680884;0.62508514;Brignancourt;198
1163;95169;2013;0.67482983;0.57320381;0.61750504;0.62184623;Commeny;413
1188;95258;2013;0.93273734;0.67164076;0.71978479;0.77472097;Frouville;369
1207;95316;2013;0.83588036;0.41071554;0.6412625;0.62928613;Jagny-sous-Bois;249
1213;95351;2013;0.57629841;0.37835337;0.46196813;0.47220664;Louvres;9949
1382;77065;2006;0.57533307;0.41793234;0.62484956;0.53937166;Cély;1089
1411;77096;2006;0.52725814;0.54811499;0.64943681;0.57493665;Chartrettes;2514
1480;77168;2006;0.44114372;0.23862453;0.39882547;0.35953124;Égreville;2075
1589;77279;2006;0.3923073;0.25134686;0.44174088;0.36179835;Marolles-sur-Seine;1542
1664;77358;2006;0.66636497;0.24900267;0.51180126;0.47572297;Penchard;1007
1757;77454;2006;0.36373517;0.44850786;0.45027208;0.42083837;Sognolles-en-Montois;406
1788;77485;2006;0.59320377;0.46814332;0.6203475;0.56056486;Le Vaudoué;741
1998;78417;2006;0.50480924;0.69473534;0.57814122;0.59256193;Montchauvet;285
2013;78465;2006;0.64687989;0.47155078;0.59584535;0.57142534;Orgerus;2324
2220;91461;2006;0.6189063;0.41843777;0.5761034;0.53781583;Ollainville;4570
2225;91473;2006;;0.4759183;0.5161007;;Orveau;205
2285;91679;2006;0.53275887;0.65908069;0.68854554;0.62679503;Villiers-le-Bâcle;1156
2295;92012;2006;0.65990373;0.76872912;0.68552621;0.70471969;Boulogne-Billancourt;110251
2322;92073;2006;0.62841855;0.65027415;0.60916397;0.62928556;Suresnes;44197
2402;94069;2006;0.6224042;0.70177246;0.58630065;0.63682577;Saint-Maurice;14547
2491;95271;2006;0.8237419;0.42627808;0.64908964;0.63303654;Génicourt;520
2525;95395;2006;0.41529218;0.34777537;0.52214847;0.42840534;Le Mesnil-Aubry;962
2713;77099;1999;0.31008683;0.04585412;0.35845914;0.23813337;Château-Landon;3361
2940;77332;1999;;0.13427131;0.48133885;;Nantouillet;265
3014;77411;1999;0.44729157;0.17143298;0.45585443;0.358193;Saint-Germain-sous-Doue;382
3027;77425;1999;0.50017513;0.35522756;0.61402464;0.48980911;Saint-Martin-en-Bière;754
3107;77510;1999;0.0;0.2571801;0.58699063;0.28139024;Villeneuve-Saint-Denis;670
3496;91363;1999;0.43976582;0.38354469;0.63443416;0.48591489;Marcoussis;7210
